"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"80","Tinytotem","941368$8.36%941.4k","198","77","73.64%","2,988.3",""
"63","Sileighty","932427$8.28%932.4k","201","42","77.33%","2,960.0",""
"95","Raynu","921964$8.19%922.0k","203","83","73.72%","2,926.7",""
"72","Metaphor","845497$7.51%845.5k","192","91","74.75%","2,684.0",""
"55","Brewcorona","842297$7.48%842.3k","200","47","73.35%","2,673.8",""
"65","Mowmowbeer","825161$7.33%825.2k","198","61","73.64%","2,619.5",""
"29","Mistrogers","749470$6.66%749.5k","186","63","74.62%","2,379.2",""
"58","Koruptd","739906$6.57%739.9k","195","65","72.91%","2,348.8",""
"39","Cabowabo","712200$6.33%712.2k","194","43","75.13%","2,260.9",""
"18","Rolandd","617508$5.49%617.5k","193","22","54.65%","1,960.3",""
"93","Celestian","606440$5.39%606.4k","195","96","74.11%","1,925.1",""
"19","Mizeria","568666$5.05%568.7k","194","21","74.82%","1,805.2",""
"40","Gingwizard","553635$4.92%553.6k","191","50","56.93%","1,757.5",""
"13","Gangbear","510120$4.53%510.1k","181","45","75.01%","1,619.4",""
"11","Stimmah","330249$2.93%330.2k","194","10","31.36%","1,048.4",""
"31","Kazuzu","293313$2.61%293.3k","199","20","75.02%","931.1",""
"77","Tothemoon","239841$2.13%239.8k","200","73","67.74%","761.4",""
"54","Niyoko","27738$0.25%27.7k","183","67","21.81%","88.1",""